degree,specialization,academic_score,marks_10th,marks_12th,skills,core_subjects,projects,internships,experience_years,role
M.Tech,Information Technology,8.93,91.5,89.9,"Network Administration, AWS, Linux","Computer Networks:B+,Cyber Security:B+,Database Management Systems:A,Web Technologies:A","DevOps Pipeline: Jenkins, Docker, Kubernetes",,2,Software Engineer
MA,Human Resources,8.65,90.2,97.8,"Recruiting, Employee Relations, Communication","Performance Management:C,HR Management:A-,Labor Laws:B,Training and Development:A","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",,7,Mechanical Engineer
M.Tech,Civil Engineering,7.5,94.4,96.6,"Site Supervision, Project Management, Estimation","STAAD Pro:A+,Structural Analysis:A,Geotechnical Engineering:B,Construction Management:C,AutoCAD:A+","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",,0,Civil Engineer
M.Tech,Civil Engineering,7.0,70.5,81.4,"Estimation, Project Management, Site Supervision","Construction Management:A-,Structural Analysis:B+,Geotechnical Engineering:A-","Smart City Drainage: STAAD Pro, Surveying",Structural Intern:4 months,0,Structural Engineer
BCA,Information Technology,9.2,87.3,73.6,"SQL, AWS, Network Administration, Linux","Cloud Computing:B,Cyber Security:A,Computer Networks:B,Database Management Systems:A,Web Technologies:A-","Customer Segmentation: Python, Scikit-learn, K-means; NLP Chatbot: Python, NLTK, Flask",,9,Data Analyst
BCA,Computer Science,7.52,91.8,92.9,"C++, Java, Python, Git, System Design","Computer Networks:C,Operating Systems:A-,Compiler Design:A-,DBMS:B+,Web Development:C","NLP Chatbot: Python, NLTK, Flask",,4,AI Engineer
M.Tech,Civil Engineering,8.23,76.0,70.1,"Project Management, Estimation, Site Supervision","STAAD Pro:A-,Construction Management:C,AutoCAD:A+,Structural Analysis:A","Smart City Drainage: STAAD Pro, Surveying; Bridge Design: AutoCAD, Structural Analysis",Structural Intern:6 months; Structural Intern:3 months,5,Civil Engineer
BA,Marketing,8.41,85.6,94.6,"Content Strategy, Social Media, Google Analytics","Digital Marketing:B+,Brand Management:C,Marketing Management:A+","Agile Product Launch: Jira, Scrum",,5,Product Manager
B.Sc,Mechanical Engineering,8.19,82.2,71.3,"MATLAB, Manufacturing, SolidWorks","CAD/CAM:C,Fluid Mechanics:C,Solid Mechanics:B+,Thermodynamics:A-,Ansys:B","DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:6 months; DevOps Engineer:6 months,1,UX Designer
B.Tech,Civil Engineering,7.1,92.8,95.3,"Project Management, Estimation, Site Supervision","Construction Management:B+,Structural Analysis:A-,Geotechnical Engineering:A-,STAAD Pro:A","Smart City Drainage: STAAD Pro, Surveying; Bridge Design: AutoCAD, Structural Analysis",Structural Intern:2 months; Structural Intern:4 months,6,Site Engineer
